Video_ID,
1.mp4,0
2.mp4,0
3.mp4,0
4.mp4,0
5.mp4,0
6.mp4,0
7.mp4,0
8.mp4,"1,0"
9.mp4,0
10.mp4,1
11.mp4,1
12.mp4,1
13.mp4,1
14.mp4,1
15.mp4,1
16.mp4,1
17.mp4,1
18.mp4,1
19.mp4,"1,0"
20.mp4,"1,0"
21.mp4,"0,1"
22.mp4,"1,0"
23.mp4,3
24.mp4,2
25.mp4,2
26.mp4,2
27.mp4,2
28.mp4,2
29.mp4,2
30.mp4,1
31.mp4,2
32.mp4,2
33.mp4,2
34.mp4,"2,1"
35.mp4,"1,2"
36.mp4,"2,1"
37.mp4,"2,1"
38.mp4,"1,2"
39.mp4,"1,2"
40.mp4,"2,1"
41.mp4,"2,1"
42.mp4,"2,1"
43.mp4,1
44.mp4,"0,1,2"
45.mp4,"2,1,0"
46.mp4,"1,2,0"
47.mp4,"2,1"
48.mp4,"2,0"
49.mp4,2
50.mp4,"0,2"
51.mp4,"2,0"
52.mp4,"0,2"
53.mp4,"1,2"
54.mp4,"0,2"
55.mp4,"2,0"
56.mp4,"2,0"
57.mp4,"2,0"
58.mp4,2
59.mp4,2
60.mp4,1
61.mp4,1
62.mp4,3
63.mp4,3
64.mp4,3
65.mp4,3
66.mp4,3
67.mp4,3
68.mp4,3
69.mp4,3
70.mp4,3
71.mp4,3
72.mp4,3
73.mp4,2
74.mp4,1
75.mp4,1
76.mp4,"3,1"
77.mp4,"3,2"
78.mp4,"3,0"
79.mp4,"1,3"
80.mp4,"1,3"
81.mp4,"3,1"
82.mp4,0
83.mp4,2
84.mp4,2
85.mp4,2
86.mp4,2
87.mp4,"3,2"
88.mp4,"2,3"
89.mp4,"3,2"
90.mp4,2
91.mp4,2
92.mp4,2
93.mp4,0
94.mp4,0
95.mp4,0
96.mp4,"2,0"
97.mp4,"0,2"
98.mp4,"2,0"
99.mp4,0
100.mp4,0
101.mp4,0
102.mp4,0
103.mp4,1
104.mp4,"3,0"
105.mp4,"0,3"
106.mp4,"3,0"
107.mp4,"0,3"
108.mp4,"1,2"
109.mp4,"2,1"
110.mp4,"1,2"
111.mp4,"2,1"
112.mp4,"2,3,0"
113.mp4,"0,3,2"
114.mp4,"1,0"
115.mp4,"0,1"
116.mp4,"3,0"
117.mp4,"3,1"
118.mp4,"1,3"
119.mp4,"2,3"
120.mp4,"3,2"
